id,subject_id,student_id
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,2,11
12,2,12
13,2,13
14,2,14
15,2,15
16,2,16
17,2,17
18,2,18
19,2,19
20,2,20
21,3,21
22,3,22
23,3,23
24,3,24
25,3,25
26,3,26
27,3,27
28,3,28
29,3,29
30,3,30
31,4,31
32,4,32
33,4,33
34,4,34
35,4,35
36,4,36
37,4,37
38,4,38
39,4,39
40,4,40
41,5,41
42,5,42
43,5,43
44,5,44
45,5,45
46,5,46
47,5,47
48,5,48
49,5,49
50,5,50
51,6,1
52,6,2
53,6,3
54,6,4
55,6,5
56,6,6
57,6,7
58,6,8
59,6,9
60,6,10
61,7,11
62,7,12
63,7,13
64,7,14
65,7,15
66,7,16
67,7,17
68,7,18
69,7,19
70,7,20
71,8,21
72,8,22
73,8,23
74,8,24
75,8,25
76,8,26
77,8,27
78,8,28
79,8,29
80,8,30
81,9,31
82,9,32
83,9,33
84,9,34
85,9,35
86,9,36
87,9,37
88,9,38
89,9,39
90,9,40
91,10,41
92,10,42
93,10,43
94,10,44
95,10,45
96,10,46
97,10,47
98,10,48
99,10,49
100,10,50
101,11,1
102,11,2
103,11,3
104,11,4
105,11,5
106,11,6
107,11,7
108,11,8
109,11,9
110,11,10
111,12,11
112,12,12
113,12,13
114,12,14
115,12,15
116,12,16
117,12,17
118,12,18
119,12,19
120,12,20
121,13,21
122,13,22
123,13,23
124,13,24
125,13,25
126,13,26
127,13,27
128,13,28
129,13,29
130,13,30
131,14,31
132,14,32
133,14,33
134,14,34
135,14,35
136,14,36
137,14,37
138,14,38
139,14,39
140,14,40
141,15,41
142,15,42
143,15,43
144,15,44
145,15,45
146,15,46
147,15,47
148,15,48
149,15,49
150,15,50
151,16,1
152,16,2
153,16,3
154,16,4
155,16,5
156,16,6
157,16,7
158,16,8
159,16,9
160,16,10
161,17,11
162,17,12
163,17,13
164,17,14
165,17,15
166,17,16
167,17,17
168,17,18
169,17,19
170,17,20
171,18,21
172,18,22
173,18,23
174,18,24
175,18,25
176,18,26
177,18,27
178,18,28
179,18,29
180,18,30
181,19,31
182,19,32
183,19,33
184,19,34
185,19,35
186,19,36
187,19,37
188,19,38
189,19,39
190,19,40
191,20,41
192,20,42
193,20,43
194,20,44
195,20,45
196,20,46
197,20,47
198,20,48
199,20,49
200,20,50
